13:09:32.623 [pool-3-thread-1] INFO  raf.rs.node.Node - NODE TIMEOUT
13:09:32.629 [pool-2-thread-1] INFO  raf.rs.node.SocketListener - Requested vote... 1 9002 0 0
13:09:32.632 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9000
13:09:32.633 [pool-2-thread-1] INFO  raf.rs.node.MessageSender - Submitting vote...
13:09:32.633 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9002
13:09:32.634 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9003
13:09:32.634 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9004
13:09:32.648 [pool-2-thread-2] INFO  raf.rs.node.SocketListener - Node: 9003 voted for term: 1 vote granted: false
13:09:32.648 [pool-2-thread-3] INFO  raf.rs.node.SocketListener - Node: 9000 voted for term: 1 vote granted: false
13:09:32.649 [pool-2-thread-4] INFO  raf.rs.node.SocketListener - Node: 9004 voted for term: 1 vote granted: false
13:09:32.649 [pool-2-thread-4] INFO  raf.rs.node.SocketListener - Requested vote... 1 9004 0 0
13:09:32.650 [pool-2-thread-4] INFO  raf.rs.node.MessageSender - Submitting vote...
13:09:32.672 [pool-2-thread-1] INFO  raf.rs.node.SocketListener - Node: 9002 voted for term: 1 vote granted: false
13:10:57.160 [pool-2-thread-5] INFO  raf.rs.node.SocketListener - Stopping node...
